schedule_id,nationality,number,name,position,attackpoints,blockpoints,servepoints,efficency,totalabs,attack_pt,attack_err,attack_att,attack_tot,attack_eff,block_pt,block_err,block_touches,block_tot,block_eff,serve_pt,serve_err,serve_attempts,serve_tot,serve_eff,reception_successful,reception_err,reception_attempts,reception_tot,reception_eff,dig_digs,dig_err,dig_tot,dig_eff,set_pt,set_err,set_attempts,set_tot,set_eff
11888,CAN,3,Van Ryk Kiera ,OH,6,2,1,16.00,9,6,1,7,14,35.71,2,3,2,7,-14.29,1,1,2,4,0.00,0,1,5,6,-16.67,1,0,3,33.33,0,0,2,2,0.00
11888,CAN,7,Van Buskirk Layne ,MB,0,0,0,-25.00,0,0,0,2,2,0.00,0,0,0,0, ,0,1,1,2,-50.00,0,0,0,0, ,1,0,1,100.00,0,0,0,0, 
11888,CAN,8,Ogoms Alicia ,MB,2,1,0,12.50,3,2,0,0,2,100.00,1,2,0,3,-33.33,0,0,3,3,0.00,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11888,CAN,11,Mitrovic Andrea ,OH,3,0,1,-10.00,4,3,3,11,17,0.00,0,2,3,5,-40.00,1,2,5,8,-12.50,10,2,18,30,26.67,5,1,7,57.14,0,0,1,1,0.00
11888,CAN,12,Cross Jennifer ,MB,1,2,0,-5.56,3,1,2,3,6,-16.67,2,1,3,6,16.67,0,1,5,6,-16.67,0,0,0,0, ,4,1,5,60.00,0,0,1,1,0.00
11888,CAN,13,King Brie ,S,0,0,0,-22.22,0,0,0,1,1,0.00,0,2,0,2,-100.00,0,0,6,6,0.00,0,0,0,0, ,3,1,6,33.33,3,1,35,39,5.13
11888,CAN,14,Howe Hilary ,OH,4,2,0,-7.69,6,4,5,10,19,-5.26,2,1,0,3,33.33,0,2,2,4,-50.00,2,2,13,17,0.00,7,2,9,55.56,0,0,2,2,0.00
11888,CAN,15,Joseph Shainah ,O,6,1,0,0.00,7,6,3,9,18,16.67,1,3,4,8,-25.00,0,1,4,5,-20.00,0,0,0,0, ,3,0,3,100.00,0,0,0,0, 
11888,CAN,16,Livingston Caroline ,OH,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,2,0,3,5,40.00,1,0,1,100.00,0,0,0,0, 
11888,CAN,18,Robitaille Kim ,S,0,0,0,-14.29,0,0,0,0,0, ,0,1,4,5,-20.00,0,0,2,2,0.00,0,0,0,0, ,1,2,4,-25.00,4,1,36,41,7.32
11888,CAN,19,Maglio Emily ,MB,3,1,0,-14.81,4,3,0,7,10,30.00,1,6,3,10,-50.00,0,2,5,7,-28.57,0,0,0,0, ,0,0,1,0.00,0,0,2,2,0.00
11888,CAN,22,Snape Kennedy Brooklyn ,L,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,1,1,-100.00,0,0,0,0, 
11888,CAN,23,Austin Parker Jane ,OH,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11888,JPN,1,Kurogo Ai ,OH,12,0,1,17.02,13,12,3,5,20,45.00,0,2,2,4,-50.00,1,0,22,23,4.35,0,0,0,0, ,15,3,18,66.67,0,0,1,1,0.00
11888,JPN,2,Koga Sarina ,OH,9,0,0,12.50,9,9,3,13,25,24.00,0,1,5,6,-16.67,0,0,9,9,0.00,9,0,8,17,52.94,11,1,12,83.33,0,0,2,2,0.00
11888,JPN,3,Shimamura Haruyo ,MB,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11888,JPN,5,Araki Erika ,MB,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11888,JPN,7,Ishii Yuki ,OH,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11888,JPN,8,Ishikawa Mayu ,OH,8,0,5,12.77,13,8,5,12,25,12.00,0,2,2,4,-50.00,5,0,13,18,27.78,4,1,1,6,50.00,9,0,10,90.00,0,0,1,1,0.00
11888,JPN,10,Akutagawa Aika ,MB,2,0,0,11.11,2,2,0,4,6,33.33,0,0,0,0, ,0,1,2,3,-33.33,0,0,0,0, ,3,0,3,100.00,0,0,0,0, 
11888,JPN,11,Nabeya Yurie ,OH,1,0,0,25.00,1,1,0,0,1,100.00,0,0,0,0, ,0,0,3,3,0.00,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11888,JPN,14,Kobata Mako ,L,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,6,1,7,14,35.71,14,1,18,72.22,0,0,4,4,0.00
11888,JPN,15,Inoue Kotoe ,L,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11888,JPN,19,Yamada Nichika ,MB,9,1,0,16.13,10,9,3,7,19,31.58,1,1,1,3,0.00,0,1,8,9,-11.11,0,0,0,0, ,7,0,7,100.00,0,0,0,0, 
11888,JPN,20,Seki Nanami ,S,0,0,0,0.00,0,0,0,0,0, ,0,0,0,0, ,0,0,4,4,0.00,0,0,0,0, ,0,1,1,-100.00,3,0,3,6,50.00
11888,JPN,21,Hayashi Kotona ,OH,0,0,0,0.00,0,0,0,0,0, ,0,0,0,0, ,0,0,2,2,0.00,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11888,JPN,24,Momii Aki ,S,0,3,0,0.00,3,0,0,2,2,0.00,3,2,2,7,14.29,0,1,2,3,-33.33,0,0,0,0, ,4,0,4,100.00,13,1,70,84,14.29
11889,CHN,3,Diao Linyu ,S,2,1,1,-8.70,4,2,0,0,2,100.00,1,5,0,6,-66.67,1,1,13,15,0.00,0,0,0,0, ,3,5,8,-25.00,6,3,98,107,2.80
11889,CHN,4,Yang Hanyu ,MB,7,5,0,31.25,12,7,0,4,11,63.64,5,1,0,6,66.67,0,1,14,15,-6.67,0,0,0,0, ,0,1,1,-100.00,0,0,0,0, 
11889,CHN,5,Gao Yi ,MB,2,1,0,22.22,3,2,0,2,4,50.00,1,1,1,3,0.00,0,0,2,2,0.00,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11889,CHN,7,Wang Yuanyuan ,MB,7,2,0,20.00,9,7,2,3,12,41.67,2,2,1,5,0.00,0,0,8,8,0.00,0,0,0,0, ,0,0,0, ,0,0,1,1,0.00
11889,CHN,8,Li Yao ,OH,8,4,1,14.89,13,8,4,15,27,14.81,4,2,2,8,25.00,1,0,11,12,8.33,3,2,12,17,5.88,2,2,5,0.00,0,0,1,1,0.00
11889,CHN,9,Zhang Changning ,OH,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11889,CHN,10,Liu Xiaotong ,OH,12,0,0,14.58,12,12,4,17,33,24.24,0,0,3,3,0.00,0,1,11,12,-8.33,15,1,19,35,40.00,4,1,5,60.00,0,0,2,2,0.00
11889,CHN,11,Yao Di ,S,0,0,0,-100.00,0,0,0,0,0, ,0,1,0,1,-100.00,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,5,5,0.00
11889,CHN,14,Zheng Yixin ,MB,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
