matchid,matchname,teamhome,teamaway,scorehome,awayhome,result,points_home,points_away
11772,Pool 4 - Preliminary Round - Men,RUS,SRB,3,1,"[25, 23, 25, 22, 22, 25, 25, 21]",97,91
11773,Pool 4 - Preliminary Round - Men,IRI,AUS,2,3,"[23, 25, 22, 25, 25, 23, 25, 18, 12, 15]",107,106
11774,Pool 4 - Preliminary Round - Men,ARG,BUL,3,1,"[25, 20, 16, 25, 25, 18, 25, 18]",91,81
11775,Pool 4 - Preliminary Round - Men,JPN,GER,3,0,"[25, 18, 25, 22, 25, 20]",75,60
11776,Pool 4 - Preliminary Round - Men,ITA,USA,0,3,"[15, 25, 18, 25, 21, 25]",54,75
11777,Pool 4 - Preliminary Round - Men,CAN,POL,0,3,"[22, 25, 23, 25, 19, 25]",64,75
11778,Pool 4 - Preliminary Round - Men,BRA,SLO,3,2,"[15, 25, 25, 22, 19, 25, 25, 13, 15, 12]",99,97
11779,Pool 4 - Preliminary Round - Men,NED,FRA,3,2,"[15, 25, 22, 25, 28, 26, 25, 23, 19, 17]",109,116
11780,Pool 4 - Preliminary Round - Men,ARG,RUS,1,3,"[19, 25, 23, 25, 25, 21, 19, 25]",86,96
11781,Pool 4 - Preliminary Round - Men,SRB,BUL,3,0,"[25, 20, 25, 17, 25, 17]",75,54
11782,Pool 4 - Preliminary Round - Men,SLO,AUS,3,1,"[18, 25, 25, 18, 25, 18, 25, 17]",93,78
11783,Pool 4 - Preliminary Round - Men,JPN,POL,0,3,"[14, 25, 18, 25, 19, 25]",51,75
11784,Pool 4 - Preliminary Round - Men,NED,ITA,1,3,"[19, 25, 23, 25, 25, 23, 21, 25]",88,98
11785,Pool 4 - Preliminary Round - Men,CAN,GER,3,0,"[25, 17, 26, 24, 25, 21]",76,62
11786,Pool 4 - Preliminary Round - Men,USA,FRA,1,3,"[23, 25, 25, 22, 29, 31, 22, 25]",99,103
11787,Pool 4 - Preliminary Round - Men,IRI,BRA,1,3,"[19, 25, 25, 23, 19, 25, 21, 25]",84,98
11788,Pool 4 - Preliminary Round - Men,ARG,SRB,3,0,"[27, 25, 25, 20, 26, 24]",78,69
11789,Pool 4 - Preliminary Round - Men,BUL,RUS,0,3,"[17, 25, 22, 25, 17, 25]",56,75
11790,Pool 4 - Preliminary Round - Men,JPN,CAN,0,3,"[22, 25, 23, 25, 18, 25]",63,75
11791,Pool 4 - Preliminary Round - Men,AUS,BRA,0,3,"[17, 25, 22, 25, 12, 25]",51,75
11792,Pool 4 - Preliminary Round - Men,IRI,SLO,1,3,"[25, 14, 20, 25, 19, 25, 30, 32]",94,96
11793,Pool 4 - Preliminary Round - Men,NED,USA,2,3,"[25, 21, 17, 25, 25, 23, 15, 25, 13, 15]",95,109
11794,Pool 4 - Preliminary Round - Men,FRA,ITA,2,3,"[19, 25, 25, 22, 20, 25, 25, 21, 12, 15]",101,108
11795,Pool 4 - Preliminary Round - Men,GER,POL,0,3,"[22, 25, 19, 25, 20, 25]",61,75
11926,Pool 5 - Preliminary Round - Women,GER,SRB,3,0,"[25, 23, 25, 16, 25, 21]",75,60
11927,Pool 5 - Preliminary Round - Women,JPN,DOM,3,2,"[18, 25, 24, 26, 25, 22, 25, 15, 15, 11]",107,99
11928,Pool 5 - Preliminary Round - Women,THA,BEL,1,3,"[23, 25, 24, 26, 25, 23, 15, 25]",87,99
11929,Pool 5 - Preliminary Round - Women,KOR,BRA,0,3,"[18, 25, 23, 25, 18, 25]",59,75
11930,Pool 5 - Preliminary Round - Women,CHN,RUS,3,0,"[25, 18, 25, 23, 25, 16]",75,57
11931,Pool 5 - Preliminary Round - Women,POL,USA,0,3,"[27, 29, 27, 29, 14, 25]",68,83
11932,Pool 5 - Preliminary Round - Women,CAN,ITA,0,3,"[18, 25, 20, 25, 20, 25]",58,75
11933,Pool 5 - Preliminary Round - Women,TUR,NED,3,0,"[27, 25, 25, 20, 25, 20]",77,65
11934,Pool 5 - Preliminary Round - Women,DOM,SRB,3,0,"[25, 14, 25, 20, 25, 18]",75,52
11935,Pool 5 - Preliminary Round - Women,USA,RUS,3,1,"[25, 21, 25, 27, 25, 23, 25, 15]",100,86
11936,Pool 5 - Preliminary Round - Women,JPN,GER,3,1,"[25, 23, 19, 25, 26, 24, 25, 15]",95,87
11937,Pool 5 - Preliminary Round - Women,THA,CAN,3,0,"[25, 16, 25, 17, 25, 17]",75,50
11938,Pool 5 - Preliminary Round - Women,CHN,POL,3,0,"[26, 24, 25, 22, 25, 16]",76,62
11939,Pool 5 - Preliminary Round - Women,KOR,TUR,1,3,"[23, 25, 25, 20, 17, 25, 18, 25]",83,95
11940,Pool 5 - Preliminary Round - Women,BRA,NED,3,0,"[25, 19, 25, 19, 25, 20]",75,58
11941,Pool 5 - Preliminary Round - Women,BEL,ITA,3,2,"[25, 17, 20, 25, 22, 25, 25, 17, 15, 10]",107,94
11942,Pool 5 - Preliminary Round - Women,DOM,GER,3,2,"[25, 21, 25, 22, 14, 25, 25, 27, 15, 9]",104,104
11943,Pool 5 - Preliminary Round - Women,CHN,USA,3,0,"[25, 10, 25, 20, 25, 17]",75,47
11944,Pool 5 - Preliminary Round - Women,THA,ITA,1,3,"[35, 33, 21, 25, 25, 27, 20, 25]",101,110
11945,Pool 5 - Preliminary Round - Women,JPN,SRB,3,0,"[25, 12, 25, 22, 25, 15]",75,49
11946,Pool 5 - Preliminary Round - Women,RUS,POL,2,3,"[17, 25, 25, 20, 16, 25, 25, 22, 7, 15]",90,107
11947,Pool 5 - Preliminary Round - Women,KOR,NED,2,3,"[20, 25, 25, 23, 18, 25, 25, 22, 12, 15]",100,110
11948,Pool 5 - Preliminary Round - Women,BEL,CAN,3,0,"[26, 24, 25, 17, 25, 17]",76,58
11949,Pool 5 - Preliminary Round - Women,BRA,TUR,3,1,"[25, 18, 25, 16, 25, 27, 25, 15]",100,76
11796,Pool 5 - Preliminary Round - Men,AUS,SRB,1,3,"[16, 25, 13, 25, 25, 19, 15, 25]",69,94
11797,Pool 5 - Preliminary Round - Men,JPN,BUL,3,0,"[25, 23, 25, 18, 25, 14]",75,55
11798,Pool 5 - Preliminary Round - Men,FRA,IRI,3,0,"[25, 21, 25, 21, 25, 19]",75,61
11799,Pool 5 - Preliminary Round - Men,CAN,NED,3,0,"[25, 16, 25, 16, 25, 19]",75,51
11800,Pool 5 - Preliminary Round - Men,BRA,ITA,3,1,"[25, 19, 32, 30, 22, 25, 25, 20]",104,94
11801,Pool 5 - Preliminary Round - Men,SLO,USA,3,2,"[28, 30, 25, 19, 21, 25, 28, 26, 15, 13]",117,113
11802,Pool 5 - Preliminary Round - Men,POL,ARG,3,0,"[25, 21, 25, 22, 25, 18]",75,61
11803,Pool 5 - Preliminary Round - Men,GER,RUS,1,3,"[18, 25, 18, 25, 25, 23, 15, 25]",76,98
11804,Pool 5 - Preliminary Round - Men,CAN,AUS,3,0,"[25, 17, 25, 8, 25, 20]",75,45
11805,Pool 5 - Preliminary Round - Men,SRB,NED,3,2,"[25, 21, 21, 25, 25, 18, 21, 25, 17, 15]",109,104
11806,Pool 5 - Preliminary Round - Men,BUL,USA,0,3,"[19, 25, 24, 26, 9, 25]",52,76
