matchid,matchname,teamhome,teamaway,scorehome,awayhome,result
11925,Pool 4 - Preliminary Round - Women,USA,TUR,3,1,"['25', '-', '21', '23', '-', '25', '25', '-', '15', '25', '-', '14']"
11772,Pool 4 - Preliminary Round - Men,RUS,SRB,3,1,"['25', '-', '23', '25', '-', '22', '22', '-', '25', '25', '-', '21']"
11773,Pool 4 - Preliminary Round - Men,IRI,AUS,2,3,"['23', '-', '25', '22', '-', '25', '25', '-', '23', '25', '-', '18', '12', '-', '15']"
11774,Pool 4 - Preliminary Round - Men,ARG,BUL,3,1,"['25', '-', '20', '16', '-', '25', '25', '-', '18', '25', '-', '18']"
11775,Pool 4 - Preliminary Round - Men,JPN,GER,3,0,"['25', '-', '18', '25', '-', '22', '25', '-', '20']"
11776,Pool 4 - Preliminary Round - Men,ITA,USA,0,3,"['15', '-', '25', '18', '-', '25', '21', '-', '25']"
11777,Pool 4 - Preliminary Round - Men,CAN,POL,0,3,"['22', '-', '25', '23', '-', '25', '19', '-', '25']"
11778,Pool 4 - Preliminary Round - Men,BRA,SLO,3,2,"['15', '-', '25', '25', '-', '22', '19', '-', '25', '25', '-', '13', '15', '-', '12']"
11779,Pool 4 - Preliminary Round - Men,NED,FRA,3,2,"['15', '-', '25', '22', '-', '25', '28', '-', '26', '25', '-', '23', '19', '-', '17']"
11780,Pool 4 - Preliminary Round - Men,ARG,RUS,1,3,"['19', '-', '25', '23', '-', '25', '25', '-', '21', '19', '-', '25']"
11781,Pool 4 - Preliminary Round - Men,SRB,BUL,3,0,"['25', '-', '20', '25', '-', '17', '25', '-', '17']"
11782,Pool 4 - Preliminary Round - Men,SLO,AUS,3,1,"['18', '-', '25', '25', '-', '18', '25', '-', '18', '25', '-', '17']"
11783,Pool 4 - Preliminary Round - Men,JPN,POL,0,3,"['14', '-', '25', '18', '-', '25', '19', '-', '25']"
11784,Pool 4 - Preliminary Round - Men,NED,ITA,1,3,"['19', '-', '25', '23', '-', '25', '25', '-', '23', '21', '-', '25']"
11785,Pool 4 - Preliminary Round - Men,CAN,GER,3,0,"['25', '-', '17', '26', '-', '24', '25', '-', '21']"
